# time thermal kinetic hydro gravitational total
4.533748505160570264e-02 7.736686881826171369e-01 2.263463118173854038e-01 1.000015000000002319e+00 0.000000000000000000e+00 1.000015000000002319e+00
4.784272474796853053e-02 7.729157617283501924e-01 2.270992382716522928e-01 1.000015000000002319e+00 0.000000000000000000e+00 1.000015000000002319e+00
5.001238762115377962e-02 7.723016537744777921e-01 2.277133462255248042e-01 1.000015000000002541e+00 0.000000000000000000e+00 1.000015000000002541e+00
5.256888731120257230e-02 7.716186837637051266e-01 2.283963162362975807e-01 1.000015000000002763e+00 0.000000000000000000e+00 1.000015000000002763e+00
5.515174156849474152e-02 7.709689667851227224e-01 2.290460332148800127e-01 1.000015000000002763e+00 0.000000000000000000e+00 1.000015000000002763e+00
5.776015284434891234e-02 7.703498661707905981e-01 2.296651338292123035e-01 1.000015000000002985e+00 0.000000000000000000e+00 1.000015000000002985e+00
6.001570913609095836e-02 7.698418306826881885e-01 2.301731693173147408e-01 1.000015000000002985e+00 0.000000000000000000e+00 1.000015000000002985e+00
6.266964257639198732e-02 7.692735913680701643e-01 2.307414086319328761e-01 1.000015000000002985e+00 0.000000000000000000e+00 1.000015000000002985e+00
6.534712624155930571e-02 7.687298946497200802e-01 2.312851053502831822e-01 1.000015000000002985e+00 0.000000000000000000e+00 1.000015000000002985e+00
6.766038519592626477e-02 7.682821073061285588e-01 2.317328926938747591e-01 1.000015000000003207e+00 0.000000000000000000e+00 1.000015000000003207e+00
7.037998525101266112e-02 7.677795580554414023e-01 2.322354419445621099e-01 1.000015000000003429e+00 0.000000000000000000e+00 1.000015000000003429e+00
7.272849644696700866e-02 7.673647967675226722e-01 2.326502032324809788e-01 1.000015000000003651e+00 0.000000000000000000e+00 1.000015000000003651e+00
7.509274111496960780e-02 7.669639394915204189e-01 2.330510605084834541e-01 1.000015000000003651e+00 0.000000000000000000e+00 1.000015000000003651e+00
7.787048883560142298e-02 7.665128241120309216e-01 2.335021758879728959e-01 1.000015000000003873e+00 0.000000000000000000e+00 1.000015000000003873e+00
8.026775200843053182e-02 7.661395190189195237e-01 2.338754809810844049e-01 1.000015000000003873e+00 0.000000000000000000e+00 1.000015000000003873e+00
8.267979122242018197e-02 7.657778986450882730e-01 2.342371013549156555e-01 1.000015000000003873e+00 0.000000000000000000e+00 1.000015000000003873e+00
8.510633184836746690e-02 7.654273437331982066e-01 2.345876562668058607e-01 1.000015000000003873e+00 0.000000000000000000e+00 1.000015000000003873e+00
8.754712123716507088e-02 7.650872953231481199e-01 2.349277046768558919e-01 1.000015000000003873e+00 0.000000000000000000e+00 1.000015000000003873e+00
9.000191170911350791e-02 7.647572561076725339e-01 2.352577438923315334e-01 1.000015000000004095e+00 0.000000000000000000e+00 1.000015000000004095e+00
9.288320593576505912e-02 7.643841767036625434e-01 2.356308232963414961e-01 1.000015000000004095e+00 0.000000000000000000e+00 1.000015000000004095e+00
9.536749584057639673e-02 7.640741654891965995e-01 2.359408345108074956e-01 1.000015000000004317e+00 0.000000000000000000e+00 1.000015000000004317e+00
9.786488937413859168e-02 7.637727428662528517e-01 2.362422571337513821e-01 1.000015000000004317e+00 0.000000000000000000e+00 1.000015000000004317e+00
1.000000000000000056e-01 7.635227287632939674e-01 2.364922712367102386e-01 1.000015000000004317e+00 0.000000000000000000e+00 1.000015000000004317e+00
