# time thermal kinetic hydro gravitational total
7.269205443654326582e-02 7.746349990507037653e-01 2.660469685014382746e-01 1.040681967552142151e+00 -3.511009261695450384e-02 1.005571874935187626e+00
7.529711843173636510e-02 7.751828024535531991e-01 2.686906931725174252e-01 1.043873495626070458e+00 -3.793778080261420160e-02 1.005935714823456228e+00
7.793449990554118800e-02 7.757942094667613642e-01 2.714523017267553850e-01 1.047246511193516749e+00 -4.093128146114981269e-02 1.006315229732366978e+00
8.060398647792257898e-02 7.764708024625419647e-01 2.743379433906659726e-01 1.050808745853207826e+00 -4.409786366896512044e-02 1.006710882184242761e+00
8.262690259447799668e-02 7.770220634176552288e-01 2.765871765879225341e-01 1.053609240005577874e+00 -4.659075917738757927e-02 1.007018480828190343e+00
8.535162490584810580e-02 7.778170112336093567e-01 2.797045735576320080e-01 1.057521584791241365e+00 -5.007810559904370129e-02 1.007443479192197566e+00
8.810763119904983787e-02 7.786822307159997347e-01 2.829635551023138573e-01 1.061645785818313481e+00 -5.375983563784718366e-02 1.007885950180466228e+00
9.019508024718118910e-02 7.793785673796136404e-01 2.855048928176364686e-01 1.064883460197250109e+00 -5.665386126015629908e-02 1.008229598937093741e+00
9.300550397355489274e-02 7.803721201357066706e-01 2.890286044462960779e-01 1.069400724582002749e+00 -6.069673857319760057e-02 1.008703986008805176e+00
9.513363032999920532e-02 7.811673713772286920e-01 2.917770342896484070e-01 1.072944405666876877e+00 -6.387216042523698178e-02 1.009072245241639854e+00
9.799813430107601198e-02 7.822966674712860113e-01 2.955886558767351069e-01 1.077885323348021007e+00 -6.830493688854577528e-02 1.009580386459475232e+00
1.000000000000000056e-01 7.831262204561117990e-01 2.983308299514347839e-01 1.081457050407546916e+00 -7.151296406705257014e-02 1.009944086340494263e+00
